14-3-3zeta
16S rRNA
18S rRNA
Acat2
Agbe
Ap-2mu
AP-2mu
App
Atg8a
atl
Atl
Atpalpha
Atpcl
B52
Barc
BBC1
Bent
Bgm
Cabp1
Cnc
COI
COX1
Crc
Ctrip
CTSL
Ctsl1
Cubn
CycA
Cytc
Cyt-c1
Dat
Dic1
dnaA
dnc
Dnc
Dronc
Drpr
Eif3h
Emp
Gdap2
Gnmt
Got1
Gpdh1
Hipk
Hn
Hnf4
Hrb27c
Hrd3
Ip6k
Iru
Khc
Kr-h2
Lama
Lmanii
Lmpt
LOC105145985
LOC105147552
LOC105151773
LOC105192815
LOC105194503
LOC105195757
LOC105196644
LOC105203949
LOC105205260
LOC105205292
LOC105208222
LOC105281996
LOC105426861
LOC105449867
LOC105452528
LOC105456410
LOC105458593
LOC105461031
LOC105462039
LOC105558513
LOC105559213
LOC105560559
LOC105560647
LOC105561955
LOC105562361
LOC105562816
LOC105562839
LOC105562892
LOC105563262
LOC105565094
LOC105566344
LOC105567154
LOC105569634
LOC105570640
LOC105620609
LOC105828868
LOC105834497
LOC105834875
LOC105835251
LOC105836167
LOC105839548
LOC106746374
LOC106787464
LOC107067883
LOC108686814
LOC108721746
LOC108730681
LOC108749472
LOC108751736
LOC108761278
LOC108762475
LOC112451660
LOC112451777
LOC112451790
LOC112451973
LOC112451976
LOC112452251
LOC112452562
LOC112452601
LOC112452699
LOC112452731
LOC112452981
LOC112453123
LOC112453267
LOC112453563
LOC112453824
LOC112453990
LOC112454034
LOC112454071
LOC112454184
LOC112454379
LOC112454510
LOC112454727
LOC112454757
LOC112455109
LOC112455180
LOC112455353
LOC112455356
LOC112455515
LOC112455578
LOC112455728
LOC112456079
LOC112456369
LOC112456754
LOC112457314
LOC112457511
LOC112457887
LOC112457968
LOC112458354
LOC112458394
LOC112458550
LOC112458783
LOC112458834
LOC112459135
LOC112459155
LOC112459237
LOC112459270
LOC112459549
LOC112459577
LOC112459795
LOC112459800
LOC112459905
LOC112460084
LOC112460224
LOC112460368
LOC112460463
LOC112460547
LOC112460633
LOC112460921
LOC112461712
LOC112461781
LOC112461963
LOC112462092
LOC112462138
LOC112462173
LOC112462226
LOC112462396
LOC112462429
LOC112462579
LOC112462648
LOC112462855
LOC112462920
LOC112462923
