sample_name,accession_name,brix_percent,apparent_purity_percent,tiller_number
SRR35670638,sichuan92-5,15.96,53.36,7.666666667
SRR35670637,sichuanfushun-5,17.44,45.9,13.66666667
SRR35670636,sichuanjianyang-8,18.05,43.16,21.66666667
SRR35670635,sichuanneijiang-36,18.49,42.73,9.333333333
SRR35670634,sichuanneijiang-4,19.36,42.65,7.666666667
SRR35670632,sichuanneijiangbadi,18.3,42.39,6.666666667
SRR35670631,sichuanzizhong-3,16.31,46.62,7.333333333
SRR35670630,sichuanzizhong-9,16.88,41.18,11
SRR35670629,yunnan75-I-10,15.44,28.27,12.33333333
SRR35670628,yunnan75-II-2,13.78,31.72,11
SRR35670627,yunnan82-24,11.77,32.57,15.33333333
SRR35670626,yunnan82-7,15.03,30.89,7.666666667
SRR34977697,yunnan82-70,13.49,37.21,11
SRR35670625,fujianhuian,14.57,22.12,8.666666667
SRR34977649,sichuan79-I-20,14.11,41.24,13.33333333
SRR35670624,sichuan92-18,13.98,39.02,9.666666667
SRR35670623,sichuan92-30,15.11,47.78,12
SRR34977638,sichuan92-34,13.59,41.11,12.66666667
SRR35670621,sichuanneijiang-1,17.67,41.68,11.33333333
SRR34977673,sichuanneijiang-44,18.71,48.65,10.66666667
SRR35834074,guangxige-1,15.93333333,31.7944205,8.333333333
SRR34977672,fujian79-II-18,13.97,32.87,19.33333333
SRR35834073,guangdong-55,18.93,28.34,12.66666667
SRR35834072,guangdong-71,17.29,41.82,13.33333333
SRR35834071,guangdong-75,15.78,41.61,11.66666667
SRR35856856,guizhou78-II-04,15.23,52.22,7.333333333
SRR35856845,hainan92-41,16.58,42.42,10
SRR35776239,sichuan79-I-6,12.81,38.31,10
SRR35856844,sichuan92-49,18.32,54.12,10.66666667
SRR35856843,yunnan75-I-21,13.67,23.14,NA
SRR35856842,yunnan75-I-4,15.12,52.96,10.33333333
SRR35856899,yunnan75-II-27,16.66,40.43,13
SRR35856898,yunnan82-134,13.99,47.06,9.666666667
SRR35856897,yunnan82-77,11.68,21.76,13.33333333
SRR35856896,yunnan82-79,12.06,37.33,9.666666667
SRR35776240,yunnan83-167,16.2,40.62,10.66666667
SRR35856895,yunnan83-169,16.69,41.26,11.33333333
SRR35856894,yunnan83-171,16.39,45.15,7
SRR35856893,yunnan83-185,18.77,45.09,8.333333333
SRR35856892,yunnan-4,17.83,51.33,12.33333333
SRR35670620,yunnanzhedianbaihuacao,15.61,30.62,13.66666667
SRR35670619,fujian87-I-10,11.93,29.21,NA
SRR35670618,fujian87-I-11,11.99,20.54,17.66666667
SRR35670617,fujian89-I-21,10.83,15.01,7.333333333
SRR35670616,guangdong-46,17.31,59.38,7.333333333
SRR35670615,sichuan79-I-31,17.42,50.43,5.333333333
SRR35670614,sichuan92-33,12.42,31.19,11.66666667
SRR35670613,sichuan92-42,14.87,42.83,8
SRR35670612,sichuan92-7,19.66,64,10.66666667
SRR35670610,India-1,17.21,53.52,15
SRR35670609,hainan92-23,15.84667,40.20265,6.666666667
SRR35776241,hainan92-72,15.40667,35.20556,10
SRR35856891,guangdong-21,17.65,58.58,13
SRR35856890,guangdong-48,17.41,44.61,11.66666667
SRR35856888,guangdong-78,17.23,54.85,8.666666667
SRR35856887,hainan92-2,17.56,38.52,5.666666667
SRR35776242,hainanhaikou,11.69,24.94,15.66666667
SRR35856886,yunnan82-120,11.75,29.46,7
SRR35856885,yunnan82-83,10.7,32.03,9.666666667
SRR35856884,yunnan83-160,14.47,32.02,7
SRR35856883,yunnan83-181,21.07,56.17,8.666666667
SRR35856882,yunnan84-249,14.12,41.2,8.666666667
SRR35856881,guangdong-40,15.37,40.41,8
SRR35856880,guangdong-53,17.71,46.26,18.33333333
SRR35856879,hainan92-46,13.69,34.49,10
SRR35856877,sichuan79-I-8,15.71,23.38,11.66666667
SRR35856876,sichuan79-II-11,13.1,24.19,14.66666667
SRR35856875,yunnan75-II-12,15.37,42.79,6.666666667
SRR35856874,yunnan75-II-7,14.93,45.76,7.333333333
SRR35856873,yunnan76-III-39,14.93,33.4,5.333333333
SRR35776243,yunnan82-86,11.08,22.76,9.666666667
SRR35776244,yunnan83-184,17.57,40.52,7.333333333
SRR35856872,hainan92-18,18.96,51.01899,10.33333333
SRR35856871,hainan92-61,16.64667,43.72079,8.333333333
SRR35856870,hainan92-16,14.96667,43.87304,14.33333333
SRR34977670,fujianxianyou-1,16.17,25.4,10.66666667
SRR35776245,guangdong-23,16.53,34.29,10.66666667
SRR34977669,guangdong-47,16.71,36.52,11.33333333
SRR35856869,sichuan79-I-17,17.15,47.84,9.666666667
SRR34977671,yunnan76-II-25,16.25,38.78,9
SRR35856868,yunnan75-II-21,14.74,31.53,5.666666667
SRR35856866,yunnan75-II-23,16.93,39.44,6
SRR34977668,yunnan76-III-17,15.91,47.23,10.66666667
SRR35776246,yunnan82-141,12.89,40,11.66666667
SRR35856865,yunnan83-210,16.41,46.72,7
SRR34977667,yunnan87-27,13.19,39.06,9
SRR35856864,yunnan87-30,12.27,40.28,9.666666667
SRR35856863,yunnan-7,17.22,4.83,12
SRR35856862,guangdong-33,17.25,45.77,12.33333333
SRR35856861,guizhou78-I-31,14.46,40.71,9
SRR35856860,hainan92-3,19.73,43.71,9
SRR35856859,hainan92-7,15.5,26.73,6
SRR35856858,sichuan79-II-9,16.01,44.17,10
SRR35856857,yunnan75-I-8,14.28,35.38,11.66666667
SRR35856855,yunnan75-II-26,19.05,45.44,7.666666667
SRR35856854,yunnan76-I-003,15.21,55.98,14.66666667
SRR35856853,yunnan82-116,13.08,38.42,10
SRR35856852,yunnan82-67,11.6,33.73,9
SRR35856851,hainan92-56,12.66667,39.39018,11.66666667
SRR35856850,hainan92-24,15.47333,27.44036,8.333333333
SRR35856849,fujian79-II-9,15.69,40.13,7
SRR35776247,hainan-3,14.29,40.69,10.33333333
SRR35856848,hainan92-52,14.56,31.95,6.666666667
SRR35856847,yunnan82-111,11,18.85,8
SRR35856846,yunnan87-29,15.39,44.15,9.666666667
SRR34977666,yunnan-1,18.15,53.57,10.66666667
SRR35197298,fujianxianyou-2,15.44,22.87,8.666666667
SRR34977665,guangdong-41,16.98,49.97,7.333333333
SRR35197297,guizhou-26,13.9,30.71,8
SRR35197296,yunnan-8,12.81,36.17,25.33333333
SRR34977664,yunnan-2,16.03,48.98,9
SRR35197295,guizhou78-I-11,13.64,25.56,9.333333333
SRR34977624,yunnan82-112,13.81,35.77,7.666666667
SRR35197294,hainan92-5,15.95,36.82,15.33333333
SRR34977623,yunnan75-II-34,17.83,52.19,7.666666667
SRR35197293,guangxige-4,15.06,45.48663347,NA
SRR34977622,fujian87-I-4,15.08,23.3,16.66666667
SRR35197292,guangdong-31,15.13,15.74,13.66666667
SRR34977621,guangxi87-17,18.02666667,46.85838018,9.666666667
SRR35197291,hainan92-60,12.9,40.74509,8
SRR35197290,guangxi92-6,17.34,37.20239331,12.66666667
SRR35113738,hainan92-8,18.4,46.62218,9.666666667
SRR35197289,guangxi87-13,16.46,33.66798906,9
SRR35197287,guangxi86-8,11.75333333,23.92324731,9.666666667
