sample_name,accession_name,strain,source_of_origin,brix_percent,apparent_purity_percent,tiller_number
SRR35670623,sichuan92-30,sichuan92,sichuan,15.11,47.78,12
SRR34977638,sichuan92-34,sichuan92,sichuan,13.59,41.11,12.66666667
SRR35670621,sichuanneijiang-1,sichuanneijiang,sichuan,17.67,41.68,11.33333333
SRR34977673,sichuanneijiang-44,sichuanneijiang,sichuan,18.71,48.65,10.66666667
SRR35834074,guangxige-1,guangxige,guangxi,15.93333333,31.7944205,8.333333333
SRR34977672,fujian79-II-18,fujian79-II,fujian,13.97,32.87,19.33333333
SRR35834073,guangdong-55,guangdong,guangdong,18.93,28.34,12.66666667
SRR35834072,guangdong-71,guangdong,guangdong,17.29,41.82,13.33333333
SRR35834071,guangdong-75,guangdong,guangdong,15.78,41.61,11.66666667
SRR35856856,guizhou78-II-04,guizhou78-II,guizhou,15.23,52.22,7.333333333
SRR35856845,hainan92-41,hainan92,hainan,16.58,42.42,10
SRR35776239,sichuan79-I-6,sichuan79-I,sichuan,12.81,38.31,10
SRR35856844,sichuan92-49,sichuan92,sichuan,18.32,54.12,10.66666667
SRR35856843,yunnan75-I-21,yunnan75-I,yunnan,13.67,23.14,NA
SRR35856842,yunnan75-I-4,yunnan75-I,yunnan,15.12,52.96,10.33333333
SRR35856899,yunnan75-II-27,yunnan75-II,yunnan,16.66,40.43,13
SRR35856898,yunnan82-134,yunnan82,yunnan,13.99,47.06,9.666666667
SRR35856897,yunnan82-77,yunnan82,yunnan,11.68,21.76,13.33333333
SRR35856896,yunnan82-79,yunnan82,yunnan,12.06,37.33,9.666666667
SRR35776240,yunnan83-167,yunnan83,yunnan,16.2,40.62,10.66666667
SRR35856895,yunnan83-169,yunnan83,yunnan,16.69,41.26,11.33333333
SRR35856894,yunnan83-171,yunnan83,yunnan,16.39,45.15,7
SRR35856893,yunnan83-185,yunnan83,yunnan,18.77,45.09,8.333333333
SRR35856892,yunnan-4,yunnan,yunnan,17.83,51.33,12.33333333
SRR35670620,yunnanzhedianbaihuacao,yunnanzhedianbaihuacao,yunnan,15.61,30.62,13.66666667
SRR35670619,fujian87-I-10,fujian87-I,fujian,11.93,29.21,NA
SRR35670618,fujian87-I-11,fujian87-I,fujian,11.99,20.54,17.66666667
SRR35670617,fujian89-I-21,fujian89-I,fujian,10.83,15.01,7.333333333
SRR35670616,guangdong-46,guangdong,guangdong,17.31,59.38,7.333333333
SRR35670615,sichuan79-I-31,sichuan79-I,sichuan,17.42,50.43,5.333333333
SRR35670614,sichuan92-33,sichuan92,sichuan,12.42,31.19,11.66666667
SRR35670613,sichuan92-42,sichuan92,sichuan,14.87,42.83,8
SRR35670612,sichuan92-7,sichuan92,sichuan,19.66,64,10.66666667
SRR35670610,India-1,India,India,17.21,53.52,15
SRR35670609,hainan92-23,hainan92,hainan,15.84667,40.20265,6.666666667
SRR35776241,hainan92-72,hainan92,hainan,15.40667,35.20556,10
SRR35856891,guangdong-21,guangdong,guangdong,17.65,58.58,13
SRR35856890,guangdong-48,guangdong,guangdong,17.41,44.61,11.66666667
SRR35856888,guangdong-78,guangdong,guangdong,17.23,54.85,8.666666667
SRR35856887,hainan92-2,hainan92,hainan,17.56,38.52,5.666666667
SRR35776242,hainanhaikou,hainanhaikou,hainan,11.69,24.94,15.66666667
SRR35856886,yunnan82-120,yunnan82,yunnan,11.75,29.46,7
SRR35856885,yunnan82-83,yunnan82,yunnan,10.7,32.03,9.666666667
SRR35856884,yunnan83-160,yunnan83,yunnan,14.47,32.02,7
SRR35856883,yunnan83-181,yunnan83,yunnan,21.07,56.17,8.666666667
SRR35856882,yunnan84-249,yunnan84,yunnan,14.12,41.2,8.666666667
SRR35856881,guangdong-40,guangdong,guangdong,15.37,40.41,8
SRR35856880,guangdong-53,guangdong,guangdong,17.71,46.26,18.33333333
SRR35856879,hainan92-46,hainan92,hainan,13.69,34.49,10
SRR35856877,sichuan79-I-8,sichuan79-I,sichuan,15.71,23.38,11.66666667
SRR35856876,sichuan79-II-11,sichuan79-II,sichuan,13.1,24.19,14.66666667
SRR35856875,yunnan75-II-12,yunnan75-II,yunnan,15.37,42.79,6.666666667
SRR35856874,yunnan75-II-7,yunnan75-II,yunnan,14.93,45.76,7.333333333
SRR35856873,yunnan76-III-39,yunnan76-III,yunnan,14.93,33.4,5.333333333
SRR35776243,yunnan82-86,yunnan82,yunnan,11.08,22.76,9.666666667
SRR35776244,yunnan83-184,yunnan83,yunnan,17.57,40.52,7.333333333
SRR35856872,hainan92-18,hainan92,hainan,18.96,51.01899,10.33333333
SRR35856871,hainan92-61,hainan92,hainan,16.64667,43.72079,8.333333333
SRR35856870,hainan92-16,hainan92,hainan,14.96667,43.87304,14.33333333
SRR34977670,fujianxianyou-1,fujianxianyou,fujian,16.17,25.4,10.66666667
SRR35776245,guangdong-23,guangdong,guangdong,16.53,34.29,10.66666667
SRR34977669,guangdong-47,guangdong,guangdong,16.71,36.52,11.33333333
SRR35856869,sichuan79-I-17,sichuan79-I,sichuan,17.15,47.84,9.666666667
SRR34977671,yunnan76-II-25,yunnan76-II,yunnan,16.25,38.78,9
SRR35856868,yunnan75-II-21,yunnan75-II,yunnan,14.74,31.53,5.666666667
SRR35856866,yunnan75-II-23,yunnan75-II,yunnan,16.93,39.44,6
SRR34977668,yunnan76-III-17,yunnan76-III,yunnan,15.91,47.23,10.66666667
SRR35776246,yunnan82-141,yunnan82,yunnan,12.89,40,11.66666667
SRR35856865,yunnan83-210,yunnan83,yunnan,16.41,46.72,7
SRR34977667,yunnan87-27,yunnan87,yunnan,13.19,39.06,9
SRR35856864,yunnan87-30,yunnan87,yunnan,12.27,40.28,9.666666667
SRR35856863,yunnan-7,yunnan,yunnan,17.22,4.83,12
SRR35856862,guangdong-33,guangdong,guangdong,17.25,45.77,12.33333333
SRR35856861,guizhou78-I-31,guizhou78-I,guizhou,14.46,40.71,9
SRR35856860,hainan92-3,hainan92,hainan,19.73,43.71,9
SRR35856859,hainan92-7,hainan92,hainan,15.5,26.73,6
SRR35856858,sichuan79-II-9,sichuan79-II,sichuan,16.01,44.17,10
SRR35856857,yunnan75-I-8,yunnan75-I,yunnan,14.28,35.38,11.66666667
SRR35856855,yunnan75-II-26,yunnan75-II,yunnan,19.05,45.44,7.666666667
SRR35856854,yunnan76-I-003,yunnan76-I,yunnan,15.21,55.98,14.66666667
SRR35856853,yunnan82-116,yunnan82,yunnan,13.08,38.42,10
SRR35856852,yunnan82-67,yunnan82,yunnan,11.6,33.73,9
SRR35856851,hainan92-56,hainan92,hainan,12.66667,39.39018,11.66666667
SRR35856850,hainan92-24,hainan92,hainan,15.47333,27.44036,8.333333333
SRR35856849,fujian79-II-9,fujian79-II,fujian,15.69,40.13,7
SRR35776247,hainan-3,hainan,hainan,14.29,40.69,10.33333333
SRR35856848,hainan92-52,hainan92,hainan,14.56,31.95,6.666666667
SRR35856847,yunnan82-111,yunnan82,yunnan,11,18.85,8
SRR35856846,yunnan87-29,yunnan87,yunnan,15.39,44.15,9.666666667
SRR34977666,yunnan-1,yunnan,yunnan,18.15,53.57,10.66666667
SRR35197298,fujianxianyou-2,fujianxianyou,fujian,15.44,22.87,8.666666667
SRR34977665,guangdong-41,guangdong,guangdong,16.98,49.97,7.333333333
SRR35197297,guizhou-26,guizhou,guizhou,13.9,30.71,8
SRR35197296,yunnan-8,yunnan,yunnan,12.81,36.17,25.33333333
SRR34977664,yunnan-2,yunnan,yunnan,16.03,48.98,9
SRR35197295,guizhou78-I-11,guizhou78-I,guizhou,13.64,25.56,9.333333333
SRR34977624,yunnan82-112,yunnan82,yunnan,13.81,35.77,7.666666667
SRR35197294,hainan92-5,hainan92,hainan,15.95,36.82,15.33333333
SRR34977623,yunnan75-II-34,yunnan75-II,yunnan,17.83,52.19,7.666666667
SRR35197293,guangxige-4,guangxige,guangxi,15.06,45.48663347,NA
SRR34977622,fujian87-I-4,fujian87-I,fujian,15.08,23.3,16.66666667
SRR35197292,guangdong-31,guangdong,guangdong,15.13,15.74,13.66666667
SRR34977621,guangxi87-17,guangxi87,guangxi,18.02666667,46.85838018,9.666666667
SRR35197291,hainan92-60,hainan92,hainan,12.9,40.74509,8
SRR35197290,guangxi92-6,guangxi92,guangxi,17.34,37.20239331,12.66666667
SRR35113738,hainan92-8,hainan92,hainan,18.4,46.62218,9.666666667
SRR35197289,guangxi87-13,guangxi87,guangxi,16.46,33.66798906,9
SRR35197287,guangxi86-8,guangxi86,guangxi,11.75333333,23.92324731,9.666666667
SRR35113737,yunnan75-II-4,yunnan75-II,yunnan,17.09,54.73,12.33333333
SRR35197286,yunnan82-14,yunnan82,yunnan,12.68,43.44,13
SRR35113736,yunnan82-149,yunnan82,yunnan,13.82,21.08,8
SRR35197285,guangxitianlin,guangxitianlin,guangxi,19.85333333,56.26194762,16.66666667
SRR35113735,guangxi87-14,guangxi87,guangxi,16.61333333,42.45064406,9.333333333
SRR35197284,guangxi92-16,guangxi92,guangxi,12.46,18.91841894,11
SRR35113734,hainan92-34,hainan92,hainan,18.7,52.28883,8.333333333
SRR35197283,guangxi87-23,guangxi87,guangxi,15.36,42.3085612,7
SRR35197282,guangxi87-1,guangxi87,guangxi,16.07333333,35.90361676,4.333333333
SRR35197281,hainan92-63,hainan92,hainan,15.53333,33.16693,8.666666667
SRR35197280,fujian89-I-17,fujian89-I,fujian,14.41,35.22,10.66666667
SRR35113733,fujianputian,fujianputian,fujian,11.92,25.26,11.66666667
SRR35113732,guangdong-36,guangdong,guangdong,16.76,49.38,NA
SRR35197278,guangdonghuanzhou,guangdonghuanzhou,guangdong,16.44,28.37,11.66666667
SRR35113731,guizhou78-II-08,guizhou78-II,guizhou,16.35,57.25,7.666666667
SRR35113729,hainan92-31,hainan92,hainan,16.23,42.59,6
SRR35113728,guangxi87-25,guangxi87,guangxi,14.40666667,51.61600648,12.33333333
SRR35197276,fujian87-I-14,fujian87-I,fujian,12.21,20.97,12.33333333
SRR35113727,hainanyanglan-9,hainanyanglan,hainan,14.86,26.63,7
SRR35197275,yunnanmanhao-1,yunnanmanhao,yunnan,17.05,49.17,8
SRR35113726,hainanyacheng-1,hainanyacheng,hainan,14.77,36.47,9
SRR35197274,guangdong-28,guangdong,guangdong,15.17,30.76,10.33333333
SRR35113725,guangdong-44,guangdong,guangdong,18.12,49.7,8.333333333
SRR35197273,yunnan76-III-18,yunnan76-III,yunnan,13.52,34.38,11.66666667
SRR35113724,yunnan87-47,yunnan87,yunnan,12.63,25.33,9
SRR35113723,hainan92-39,hainan92,hainan,12.34,47.53,9
SRR35113722,guangdong-81,guangdong,guangdong,16.91,52.91,5.333333333
SRR35113721,vietnam-3,vietnam,vietnam,16.68,27.67,0
SRR35197272,hainan92-66,hainan92,hainan,14.93333,39.03041,6.666666667
SRR35197271,hainan-2,hainan,hainan,13.79,46.55,8
SRR35197270,hainan92-50,hainan92,hainan,15.39,32.05,8
SRR35197269,yunnan82-110,yunnan82,yunnan,15.69,53.09,12
SRR35197268,thailand2003-1,thailand2003,thailand,16.08,51.77,11
SRR35197267,hainan92-47,hainan92,hainan,13.79,49.07,7.666666667
SRR34977614,thailand98T-266,thailand98T,thailand,11.49,18.87,5
SRR35197265,fujian89-I-19,fujian89-I,fujian,12.14,28.47897,13.33333333
SRR34977603,guangxi87-51,guangxi87,guangxi,16.45333333,41.2657658,6.666666667
SRR35197264,guangxige-3,guangxige,guangxi,16.54666667,48.07843272,7.333333333
SRR34977592,guangxi85-13,guangxi85,guangxi,12.71333333,28.09,7
SRR35197263,guangxi87-53,guangxi87,guangxi,18.78666667,42.86518275,14.33333333
SRR34977581,guangxi92-1,guangxi92,guangxi,16.22666667,35.09789852,9.333333333
SRR35197262,guangxi83-25,guangxi83,guangxi,15.82,42.89,8.333333333
SRR34977685,guangdong-80,guangdong,guangdong,16.18,41.88,9
SRR34977570,sichuanzizhong-2,sichuanzizhong,sichuan,17.73,37.43,9.333333333
SRR35197261,yunnan82-63,yunnan82,yunnan,12.17,27.37,6.333333333
SRR34977719,yunnan82-65,yunnan82,yunnan,13.99,29.46,12
SRR35197260,yunnan82-16,yunnan82,yunnan,15.65,40.09,7
SRR34977708,guangxi87-16,guangxi87,guangxi,13.65333333,40.54476563,6
SRR35197259,hainan92-32,hainan92,hainan,17.27333,52.75046,7.666666667
SRR35197258,guangxi87-46,guangxi87,guangxi,10.45333333,9.332018495,5
SRR35197257,guangxi87-21,guangxi87,guangxi,18.57333333,60.38360912,6.333333333
SRR35197256,sichuan79-II-1,sichuan79-II,sichuan,20.98,53.84,9.333333333
