sample_name,accession_name,strain,source_of_origin,brix_percent,apparent_purity_percent,tiller_number
SRR35834119,yunnan76-I-024,yunnan76-I,yunnan,17.52,50.24,9
SRR35834118,yunnan75-II-35,yunnan75-II,yunnan,16.35,43.94,7.333333333
SRR35776254,yunnan76-III-20,yunnan76-III,yunnan,14.43,32.41,9
SRR35834117,yunnan82-103,yunnan82,yunnan,12.13,40.63,6.666666667
SRR35834116,yunnan82-12,yunnan82,yunnan,11.82,35.79,11.33333333
SRR35834115,yunnan82-20,yunnan82,yunnan,11.19,33.7,14
SRR35834114,yunnan82-34,yunnan82,yunnan,12.59,41.6,10
SRR35834112,yunnan83-189,yunnan83,yunnan,13.02,43.78,6.333333333
SRR35834111,yunnan83-207,yunnan83,yunnan,13.87,42.58,6.333333333
SRR35834110,yunnan83-213,yunnan83,yunnan,16.11,48.56,11.66666667
SRR35834109,yunnan83-231,yunnan83,yunnan,13.99,34.77,6
SRR35834108,yunnan83-235,yunnan83,yunnan,15.81,36.09,17.66666667
SRR35834107,yunnan84-247,yunnan84,yunnan,16.93,35.42,14
SRR35834106,yunnan84-259,yunnan84,yunnan,17.41,39.14,11.33333333
SRR35834105,yunnan84-264,yunnan84,yunnan,15.12,28.77,10
SRR35834104,yunnanheqing,yunnanheqing,yunnan,14.93,59.76,8.666666667
SRR35670640,yunnankaiyuan,yunnankaiyuan,yunnan,15.81,42.58,7.666666667
SRR35834103,fujian88-I-13,fujian88-I,fujian,15.7,22.79,9.666666667
SRR35834101,fujian88-I-12,fujian88-I,fujian,15.15,22.7,13
SRR35834100,fujian89-I-7,fujian89-I,fujian,15.86,32.29,8
SRR35834099,guangdong-8,guangdong,guangdong,14.96,46.52,16
SRR35776230,guangdong-67,guangdong,guangdong,14.33,46.63,12
SRR35834098,sichuan79-II-10,sichuan79-II,sichuan,16.61,50.26,13.33333333
SRR35834097,yunnan82-132,yunnan82,yunnan,14.06,42.66,8.666666667
SRR35776231,yunnan82-136,yunnan82,yunnan,15.07,44.96,13
SRR35834096,yunnan83-193,yunnan83,yunnan,16.95,43.74,11
SRR35834095,fujian92-I-12,fujian92-I,fujian,17.3,42.49,14.33333333
SRR35834094,guangdong-45,guangdong,guangdong,9.98,28.4,6.333333333
SRR34977682,guangdong-50,guangdong,guangdong,15.81,53.61,19.66666667
SRR35197307,guangdong-74,guangdong,guangdong,13.92,29.8,7.333333333
SRR35197306,yunnan75-I-6,yunnan75-I,yunnan,13.9,30.37,8
SRR35197305,yunnan75-II-8,yunnan75-II,yunnan,16.74,38.63,8
SRR35197304,yunnan76-I-012,yunnan76-I,yunnan,15.41,51.87,16.33333333
SRR35197303,yunnan82-84,yunnan82,yunnan,12.06,30.11,12.33333333
SRR35197302,yunnan83-163,yunnan83,yunnan,16.12,50.97,7
SRR34977681,yunnan83-201,yunnan83,yunnan,15.94,28.88,15.33333333
SRR35197301,yunnan83-208,yunnan83,yunnan,12.56,20.36,15.66666667
SRR35197300,yunnan84-248,yunnan84,yunnan,14.74,41.39,5
SRR35834093,yunnan84-251,yunnan84,yunnan,17.27,48.64,11
SRR35834092,yunnan84-256,yunnan84,yunnan,15.32,38.14,9.666666667
SRR35834090,hainan92-14,hainan92,hainan,16.98,46.1,5.666666667
SRR35834089,guangdong-58,guangdong,guangdong,18.02,51.88,11
SRR35834088,yunnan83-200,yunnan83,yunnan,11.79,29.56,10.66666667
SRR35776232,yunnan87-40,yunnan87,yunnan,11.64,35.94,8.333333333
SRR35834087,guangdong-3,guangdong,guangdong,14.64,54.3,14.33333333
SRR35834086,guizhou78-II-09,guizhou78-II,guizhou,17.83,56.96,7.666666667
SRR35776233,yunnan75-II-28,yunnan75-II,yunnan,15.53,43.42,16.33333333
SRR35834085,yunnan76-III-13,yunnan76-III,yunnan,14.54,52.16,7.666666667
SRR35834084,yunnan82-145,yunnan82,yunnan,16.83,31.6,15
SRR35834083,yunnan87-26,yunnan87,yunnan,13.6,37.98,6.666666667
SRR34977680,yunnan83-159,yunnan83,yunnan,16.39,47.4,9.333333333
SRR35834082,guangdong-2,guangdong,guangdong,17.47,49.16,14.33333333
SRR34977679,yunnan83-157,yunnan83,yunnan,15.73,45.3,8
SRR35834081,yunnan83-166,yunnan83,yunnan,17.44,45.73,7.333333333
SRR34977678,fujian88-I-3,fujian88-I,fujian,16.52,22.63,16.66666667
SRR35834079,fujian79-II-4,fujian79-II,fujian,17.27,33.13,10.33333333
SRR34977677,fujian92-I-11,fujian92-I,fujian,16.03,21.37,12.66666667
SRR35776234,fujian92-I-19,fujian92-I,fujian,15.81,21.54,7.333333333
SRR34977676,sichuan79-I-16,sichuan79-I,sichuan,18.95,47.32,13.66666667
SRR35834078,sichuan79-I-21,sichuan79-I,sichuan,17.05,39.6,8.666666667
SRR35834077,sichuan79-II-6,sichuan79-II,sichuan,14.8,42.39,13.33333333
SRR34977675,sichuan88-18,sichuan88,sichuan,18.14,48.02,12
SRR35834076,sichuan88-34,sichuan88,sichuan,19.27,48.51,15
SRR35776235,sichuan88-48,sichuan88,sichuan,17.78,40.17,9.333333333
SRR35776236,sichuan92-17,sichuan92,sichuan,15.67,39.27,7
SRR35834075,sichuan92-28,sichuan92,sichuan,16.77,44.08,23.66666667
SRR35776238,sichuan92-31,sichuan92,sichuan,15.19,50.62,8.333333333
SRR35670639,sichuan92-46,sichuan92,sichuan,15.61,59.03,11.33333333
SRR35670638,sichuan92-5,sichuan92,sichuan,15.96,53.36,7.666666667
SRR35670637,sichuanfushun-5,sichuanfushun,sichuan,17.44,45.9,13.66666667
SRR35670636,sichuanjianyang-8,sichuanjianyang,sichuan,18.05,43.16,21.66666667
SRR35670635,sichuanneijiang-36,sichuanneijiang,sichuan,18.49,42.73,9.333333333
SRR35670634,sichuanneijiang-4,sichuanneijiang,sichuan,19.36,42.65,7.666666667
SRR35670632,sichuanneijiangbadi,sichuanneijiangbadi,sichuan,18.3,42.39,6.666666667
SRR35670631,sichuanzizhong-3,sichuanzizhong,sichuan,16.31,46.62,7.333333333
SRR35670630,sichuanzizhong-9,sichuanzizhong,sichuan,16.88,41.18,11
SRR35670629,yunnan75-I-10,yunnan75-I,yunnan,15.44,28.27,12.33333333
SRR35670628,yunnan75-II-2,yunnan75-II,yunnan,13.78,31.72,11
SRR35670627,yunnan82-24,yunnan82,yunnan,11.77,32.57,15.33333333
SRR35670626,yunnan82-7,yunnan82,yunnan,15.03,30.89,7.666666667
SRR34977697,yunnan82-70,yunnan82,yunnan,13.49,37.21,11
SRR35670625,fujianhuian,fujianhuian,fujian,14.57,22.12,8.666666667
SRR34977649,sichuan79-I-20,sichuan79-I,sichuan,14.11,41.24,13.33333333
SRR35670624,sichuan92-18,sichuan92,sichuan,13.98,39.02,9.666666667
