sample_name	ampicillin_RIS	gentamicin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tigecycline_RIS	vancomycin_RIS
1352.10185	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10184	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10214	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10215	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10216	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10217	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10254	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10252	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10251	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1025	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10249	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10248	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10247	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10246	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10245	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10243	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10242	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10241	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10238	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10237	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10256	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10236	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10234	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10233	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10231	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.1023	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10228	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10227	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10226	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10225	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10224	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10223	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10222	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10221	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10219	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10218	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10235	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10324	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10373	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10326	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10423	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10422	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10421	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.1042	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10419	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10418	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10417	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10416	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10415	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10414	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10413	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10412	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10411	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.1041	susceptible	NA	NA	NA	NA	NA	NA	susceptible
1352.10409	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10408	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10407	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10406	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10405	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10404	resistant	NA	NA	NA	NA	NA	NA	susceptible
1352.10403	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10402	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.10401	resistant	NA	NA	NA	NA	NA	NA	resistant
1352.104	resistant	NA	NA	NA	NA	NA	NA	resistant
