sample_name	cleaned_host
SRR28752649	grackle
SRR28752650	cattle
SRR28752651	cattle
SRR28752652	cattle
SRR28752653	cattle
SRR28752654	cattle
SRR28752655	cattle
SRR28752656	cattle
SRR28752657	cattle
SRR28752658	cattle
SRR28752659	cattle
SRR28752660	chicken
SRR28752661	cattle
SRR28752662	cattle
SRR28752663	cattle
SRR28752664	cattle
SRR28752665	cat
SRR28752666	cat
SRR28752667	cattle
SRR28752668	cattle
SRR28752669	cattle
SRR28752670	cattle
SRR28752671	chicken
SRR28752672	cattle
SRR28752673	cattle
SRR28752674	cattle
SRR28752675	cattle
SRR28752676	cattle
SRR28752677	cattle
SRR28752678	cattle
SRR28752679	cattle
SRR28752680	cattle
SRR28752681	cattle
SRR28752682	chicken
SRR28752683	cago
SRR28752684	goose
SRR30090349	cattle
SRR30090350	cattle
SRR30090351	cattle
SRR30090352	cattle
SRR30090353	cattle
SRR30090354	cattle
SRR30090355	cattle
SRR30090356	cattle
SRR30090357	cattle
SRR30090358	cattle
SRR30090359	cattle
SRR30090360	cattle
SRR30090361	cattle
SRR30090362	chicken
SRR30090363	cattle
SRR30090364	cattle
SRR30090365	cattle
SRR30090366	cattle
SRR30090367	cat
SRR30090368	cat
SRR30090369	cattle
SRR30090370	cattle
SRR30090371	cattle
SRR30090372	cattle
SRR30090373	cattle
SRR30090374	cattle
SRR30090375	cattle
SRR30090376	cattle
SRR30090377	chicken
SRR30090378	cattle
SRR30090379	cattle
SRR30090380	cattle
SRR30090381	cattle
SRR30090382	cattle
SRR30090383	cattle
SRR30090384	cattle
SRR30090385	cattle
SRR30090386	raccoon
SRR30090387	cattle
SRR30090388	cattle
SRR30090389	cattle
SRR30090390	cattle
SRR30090391	western kingbird
SRR30090392	chicken
SRR30090393	chicken
SRR30090394	chicken
SRR30090395	chicken
SRR30090396	chicken
SRR30090397	house sparrow
SRR30090398	chicken
SRR30090399	chicken
SRR30090400	chicken
SRR30090401	chicken
SRR30090402	chicken
SRR30090403	chicken
SRR30090404	chicken
SRR30090405	cattle
SRR30090406	cattle
SRR30090407	cattle
SRR30090408	cattle
SRR30090409	cattle
SRR30202021	cattle
SRR30202024	cattle
SRR30202029	cattle
SRR30202030	cattle
SRR30202031	cattle
SRR30202037	chicken
SRR30202038	chicken
SRR30202043	chicken
SRR30202049	cattle
SRR30202050	cattle
SRR30202051	cattle
SRR29851700	turkey
SRR29851702	cattle
SRR29851683	cattle
SRR29851685	cattle
SRR29851690	cattle
SRR29851691	cattle
SRR29851692	cattle
SRR29851693	cattle
SRR29851694	chicken
SRR29851695	chicken
SRR29851699	cattle
SRR29851679	cattle
SRR29851680	cattle
SRR29851681	cattle
SRR29851682	cattle
SRR29851684	cattle
SRR29851686	cattle
SRR29377820	cattle
SRR29377821	cattle
SRR29377822	cattle
SRR29377823	cattle
SRR29377824	cattle
SRR29377825	cattle
SRR29377826	cattle
SRR29377827	cattle
SRR29377828	cattle
SRR29377829	cattle
SRR29377830	cattle
SRR29377831	cattle
SRR29377832	cattle
SRR29377833	cattle
SRR29377834	cattle
SRR29377835	cattle
SRR29377836	cattle
SRR29377837	cattle
SRR29377838	cattle
SRR29377839	alpaca
SRR29377840	cattle
SRR29377841	cattle
SRR29377842	cattle
SRR29377843	cattle
SRR29377844	cattle
SRR29377845	cattle
SRR29377846	cattle
SRR29377847	cattle
SRR29377848	cattle
SRR29377849	cattle
SRR29377850	turkey
SRR29377851	cattle
SRR29377852	cattle
SRR29377853	cattle
SRR29377854	cattle
SRR29377855	cattle
SRR29377856	cattle
SRR29377857	cattle
SRR29377858	cattle
SRR29377859	cattle
SRR29377860	cattle
SRR29377861	turkey
SRR29377862	turkey
SRR29377863	turkey
